Gene	Antibody Count
TSPAN6	4
TNMD	0
DPM1	0
SCYL3	7
C1orf112	1
FGR	53
CFH	93
FUCA2	2
GCLC	16
NFYA	9
STPG1	0
NIPAL3	1
LAS1L	0
ENPP4	1
SEMA3F	0
CFTR	74
ANKIB1	0
CYP51A1	1
KRIT1	8
RAD52	9
BAD	44
LAP3	8
CD99	188
HS3ST1	0
AOC1	12
WNT16	2
HECW1	0
MAD1L1	32
LASP1	9
SNX11	2
TMEM176A	0
M6PR	40
KLHL13	1
CYP26B1	6
ICA1	9
DBNDD1	1
ALS2	10
CASP10	18
CFLAR	24
TFPI	30
NDUFAF7	2
RBM5	10
MTMR7	0
SLC7A2	28
ARF5	13
SARM1	6
POLDIP2	86
PLXND1	1
AK2	30
CD38	158
FKBP4	26
KDM1A	2
RBM6	7
CAMKK1	22
RECQL	6
VPS50	0
HSPB6	9
ARHGAP33	0
NDUFAB1	8
PDK4	5
SLC22A16	1
ZMYND10	2
ABCB5	2
ARX	48
SLC25A13	12
ST7	2
CDC27	20
SLC4A1	70
CALCR	7
HCCS	2
DVL2	12
PRSS22	0
UPF1	6
SKAP2	16
SLC25A5	2
MCUB	104
HOXA11	27
POLR2J	2
DHX33	1
MEOX1	38
THSD7A	2
LIG3	29
RPAP3	0
ACSM3	78
REXO5	0
CIAPIN1	14
SPPL2B	0
FAM214B	0
COPZ2	0
PRKAR2B	5
MSL3	0
CREBBP	55
TSPOAP1	0
MPO	85
PON1	26
GCFC2	0
WDR54	0
CROT	8
ABCB4	109
KMT2E	1
RHBDD2	1
SOX8	14
IBTK	0
ZNF195	0
MYCBP2	0
FBXL3	11
ITGAL	195
PDK2	25
ITGA3	87
ZFX	0
LAMP2	23
ITGA2B	133
ASB4	1
GDE1	4
REX1BD	0
CRLF1	12
OSBPL7	0
TMEM98	1
YBX2	1
KRT33A	0
MAP3K14	1
ABCC8	11
CACNG3	8
TMEM132A	0
AP2B1	5
TAC1	8
ZNF263	19
CX3CL1	25
SPATA20	0
CACNA1G	0
TNFRSF12A	25
DLX6	1
MAP3K9	0
RALA	12
BAIAP2L1	10
KDM7A	0
ETV1	13
AGK	1
ALDH3B1	2
TTC22	0
PHTF2	1
CCL26	6
FARP2	0
USH1C	8
GGCT	1
DBF4	19
TBXA2R	1
IFRD1	1
LGALS14	1
COX10	0
GTF2IRD1	15
PAF1	2
VPS41	1
ARHGAP44	0
ELAC2	1
SCIN	0
ARSD	1
PNPLA4	1
MYH13	1
ADIPOR2	1
CDKL3	1
UPP2	0
PRSS21	4
MARK4	0
PROM1	22
CCDC124	0
CEACAM21	0
PAFAH1B1	26
NOS2	30
DNAH9	0
KIAA0100	0
SLC13A2	0
GAS7	14
TRAPPC6A	0
MATK	6
CEACAM7	9
CD79B	62
SCN4A	0
ST7L	1
TKTL1	10
PAX6	17
RPUSD1	1
RHBDF1	1
LUC7L	7
CACNA2D2	3
BAIAP3	3
TSR3	0
PIGQ	2
CRAMP1	0
TEAD3	4
SELE	127
DNAJC11	1
FMO3	1
MYLIP	2
NOX1	2
E2F2	19
PSMB1	1
SYN1	45
JARID2	1
CDKL5	9
CAMK1G	2
CDK11A	5
NADK	6
TFAP2B	16
TFAP2D	0
DLEC1	7
CYTH3	14
ADAM22	3
SYPL1	0
CYB561	1
SPAG9	1
CELSR3	9
AASS	2
PLEKHG6	1
SS18L2	0
MPND	0
MGST1	2
CRY1	11
PGLYRP1	21
NFIX	2
ST3GAL1	0
MMP25	11
IL32	6
PKD1	1
MAPK8IP2	1
MED24	0
RHOBTB2	1
HEATR5B	0
SEC62	0
RPS20	2
CSDE1	0
UBE3C	0
REV3L	0
TENM1	0
PAX7	45
MASP2	4
IYD	1
FAM76A	0
TRAF3IP3	0
POMT2	5
VTA1	0
MLXIPL	0
BAZ1B	23
RANBP9	8
ETV7	3
SPRTN	1
METTL13	1
DYRK4	4
ZNF207	43
UQCRC1	8
STARD3NL	0
CD9	177
HHATL	1
NCAPD2	11
IFFO1	0
GIPR	0
PHF7	13
SEMA3G	0
NISCH	34
STAB1	2
FUZ	0
SLC6A13	1
IDS	175922
PRSS3	12
ZNF200	7
CD4	413
LRRC23	1
BTK	65
HFE	11
