Gene	Ensembl	Uniprot_Accession	Gene.description	HPA.evidence	RNA.tissue.specificity	RNA.tissue.specificity.score	RNA.tissue.specific.nTPM	Uniprot_Name	Mass	GO_Annotations	GeneID	Pubmed_Citations	Antibody.Count	HGNC	ASCTB_Tissues	ASCTB_UBERON
A1BG	ENSG00000121410	P04217	Alpha-1-B glycoprotein	Evidence at protein level	Tissue enriched	1492	liver: 1234.7	A1BG_HUMAN	54254	15	1	34	19	NA	NA	NA
A1CF	ENSG00000148584	Q9NQ94	APOBEC1 complementation factor	Evidence at protein level	Tissue enriched	5	liver: 145.2	A1CF_HUMAN	65202	44	29974	39	4	NA	NA	NA
A2M	ENSG00000175899	P01023	Alpha-2-macroglobulin	Evidence at protein level	Tissue enhanced	NA	lung: 1692.9	A2MG_HUMAN	163291	104	2	282	29	HGNC:7	Thoracic thymus	UBERON:0002370
A2ML1	ENSG00000166535	A8K2U0	Alpha-2-macroglobulin like 1	Evidence at protein level	Tissue enhanced	NA	esophagus: 560.7;vagina: 206.4	A2ML1_HUMAN	161107	9	144568	37	1	NA	NA	NA
A3GALT2	ENSG00000184389	U3KPV4	Alpha 1,3-galactosyltransferase 2	No human protein/transcript evidence	Not detected	NA		A3LT2_HUMAN	38754	13	127550	4	0	NA	NA	NA
A4GALT	ENSG00000128274	Q9NPC4	Alpha 1,4-galactosyltransferase (P blood group)	Evidence at transcript level	Low tissue specificity	NA		A4GAT_HUMAN	40499	14	53947	49	11	NA	NA	NA
A4GNT	ENSG00000118017	Q9UNA3	Alpha-1,4-N-acetylglucosaminyltransferase	Evidence at protein level	Tissue enriched	7	stomach 1: 23.8	A4GCT_HUMAN	39497	13	51146	15	7	NA	NA	NA
AAAS	ENSG00000094914	Q9NRG9	Aladin WD repeat nucleoporin	Evidence at transcript level	Low tissue specificity	NA		AAAS_HUMAN	59574	56	8086	105	11	NA	NA	NA
AACS	ENSG00000081760	Q86V21	Acetoacetyl-CoA synthetase	Evidence at transcript level	Low tissue specificity	NA		AACS_HUMAN	75144	9	65985	16	3	NA	NA	NA
AADAC	ENSG00000114771	P22760	Arylacetamide deacetylase	Evidence at protein level	Tissue enhanced	NA	adrenal gland: 226.8;intestine: 243.7;liver: 954.5	AAAD_HUMAN	45734	19	13	30	8	NA	NA	NA
AADACL2	ENSG00000197953	Q6P093	Arylacetamide deacetylase like 2	Evidence at transcript level	Tissue enriched	26	skin 1: 35.6	ADCL2_HUMAN	46099	3	344752	5	0	NA	NA	NA
